Title,Year,link,Cast & Director,Rating,Number of reviews
12 Years a Slave,2013,https://www.imdb.com/title/tt2024544/,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.1,600839
Cool Hand Luke,1967,https://www.imdb.com/title/tt0061512/,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.1,153641
Into the Wild,2007,https://www.imdb.com/title/tt0758758/,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.1,541023
Network,1976,https://www.imdb.com/title/tt0074958/,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.1,136556
Le salaire de la peur,1953,https://www.imdb.com/title/tt0046268/,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.1,50428
Stand by Me,1986,https://www.imdb.com/title/tt0092005/,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.1,344670
Mad Max: Fury Road,2015,https://www.imdb.com/title/tt1392190/,"George Miller (dir.), Tom Hardy, Charlize Theron",8.1,818551
Life of Brian,1979,https://www.imdb.com/title/tt0079470/,"Terry Jones (dir.), Graham Chapman, John Cleese",8.1,347408
Barry Lyndon,1975,https://www.imdb.com/title/tt0072684/,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.1,138566
Platoon,1986,https://www.imdb.com/title/tt0091763/,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.1,362922
Million Dollar Baby,2004,https://www.imdb.com/title/tt0405159/,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.1,604553
Hachi: A Dog's Tale,2009,https://www.imdb.com/title/tt1028532/,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.1,234610
Rush,2013,https://www.imdb.com/title/tt1979320/,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.1,407996
La passion de Jeanne d'Arc,1928,https://www.imdb.com/title/tt0019254/,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.1,43017
Logan,2017,https://www.imdb.com/title/tt3315342/,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.1,598735
Ben-Hur,1959,https://www.imdb.com/title/tt0052618/,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.1,208048
Rang De Basanti,2006,https://www.imdb.com/title/tt0405508/,"Rakeysh Omprakash Mehra (dir.), Aamir Khan, Soha Ali Khan",8.0,104348
Andrei Rublev,1966,https://www.imdb.com/title/tt0060107/,"Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov",8.0,41663
Kaze no tani no Naushika,1984,https://www.imdb.com/title/tt0087544/,"Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura",8.0,133898
Harry Potter and the Deathly Hallows: Part 2,2011,https://www.imdb.com/title/tt1201607/,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.0,717775
Les quatre cents coups,1959,https://www.imdb.com/title/tt0053198/,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.0,96518
Dead Poets Society,1989,https://www.imdb.com/title/tt0097165/,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.0,390591
Hotel Rwanda,2004,https://www.imdb.com/title/tt0395169/,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.0,321390
Amores perros,2000,https://www.imdb.com/title/tt0245712/,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.0,212642
Spotlight,2015,https://www.imdb.com/title/tt1895587/,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.0,386227
Rebecca,1940,https://www.imdb.com/title/tt0032976/,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.0,114711
Rocky,1976,https://www.imdb.com/title/tt0075148/,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.0,490558
Ah-ga-ssi,2016,https://www.imdb.com/title/tt4016934/,"Chan-wook Park (dir.), Min-hee Kim, Jung-woo Ha",8.0,90944
The Red Shoes,1948,https://www.imdb.com/title/tt0040725/,"Michael Powell (dir.), Anton Walbrook, Marius Goring",8.0,27364
"Monsters, Inc.",2001,https://www.imdb.com/title/tt0198781/,"Pete Docter (dir.), Billy Crystal, John Goodman",8.0,770394
Ace in the Hole,1951,https://www.imdb.com/title/tt0043338/,"Billy Wilder (dir.), Kirk Douglas, Jan Sterling",8.0,27361
La haine,1995,https://www.imdb.com/title/tt0113247/,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.0,137041
It Happened One Night,1934,https://www.imdb.com/title/tt0025316/,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.0,87835
White Heat,1949,https://www.imdb.com/title/tt0042041/,"Raoul Walsh (dir.), James Cagney, Virginia Mayo",8.0,27103
The Princess Bride,1987,https://www.imdb.com/title/tt0093779/,"Rob Reiner (dir.), Cary Elwes, Mandy Patinkin",8.0,372477
Marriage Story,2019,https://www.imdb.com/title/tt7653254/,"Noah Baumbach (dir.), Adam Driver, Scarlett Johansson",8.0,161258
Lagaan: Once Upon a Time in India,2001,https://www.imdb.com/title/tt0169102/,"Ashutosh Gowariker (dir.), Aamir Khan, Raghuvir Yadav",8.0,97343
Gangs of Wasseypur,2012,https://www.imdb.com/title/tt1954470/,"Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha",8.0,73005
Before Sunset,2004,https://www.imdb.com/title/tt0381681/,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.0,217671
Faa yeung nin wa,2000,https://www.imdb.com/title/tt0118694/,"Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung",8.0,111920
The Help,2011,https://www.imdb.com/title/tt1454029/,"Tate Taylor (dir.), Emma Stone, Viola Davis",8.0,404866
The Terminator,1984,https://www.imdb.com/title/tt0088247/,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.0,761630
Butch Cassidy and the Sundance Kid,1969,https://www.imdb.com/title/tt0064115/,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.0,193525
"Paris, Texas",1984,https://www.imdb.com/title/tt0087884/,"Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski",8.0,79831
Akira,1988,https://www.imdb.com/title/tt0094625/,"Katsuhiro Ôtomo (dir.), Mitsuo Iwata, Nozomu Sasaki",8.0,150322
PK,2014,https://www.imdb.com/title/tt2338151/,"Rajkumar Hirani (dir.), Aamir Khan, Anushka Sharma",8.0,146919
Contratiempo,2016,https://www.imdb.com/title/tt4857264/,"Oriol Paulo (dir.), Mario Casas, Ana Wagener",8.0,100455
Aladdin,1992,https://www.imdb.com/title/tt0103639/,"Ron Clements (dir.), Scott Weinger, Robin Williams",8.0,346037
Guardians of the Galaxy,2014,https://www.imdb.com/title/tt2015381/,"James Gunn (dir.), Chris Pratt, Vin Diesel",8.0,994340
Hera Pheri,2000,https://www.imdb.com/title/tt0242519/,"Priyadarshan (dir.), Akshay Kumar, Sunil Shetty",8.0,50865
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,https://www.imdb.com/title/tt0169858/,"Hideaki Anno (dir.), Megumi Ogata, Megumi Hayashibara",8.0,32654
