Title,Year,link,Cast & Director,Rating,Number of reviews
Whiplash,2014,https://www.imdb.com/title/tt2582802/,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",8.5,655463
Once Upon a Time in the West,1968,https://www.imdb.com/title/tt0064116/,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.5,283519
The Prestige,2006,https://www.imdb.com/title/tt0482571/,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",8.5,1110056
Casablanca,1942,https://www.imdb.com/title/tt0034583/,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.4,493356
Hotaru no haka,1988,https://www.imdb.com/title/tt0095327/,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",8.4,210670
1917,2019,https://www.imdb.com/title/tt8579674/,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.4,160871
Rear Window,1954,https://www.imdb.com/title/tt0047396/,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.4,415894
Nuovo Cinema Paradiso,1988,https://www.imdb.com/title/tt0095765/,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.4,211810
Alien,1979,https://www.imdb.com/title/tt0078748/,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.4,743191
Raiders of the Lost Ark,1981,https://www.imdb.com/title/tt0082971/,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.4,840186
Apocalypse Now,1979,https://www.imdb.com/title/tt0078788/,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.4,570771
Memento,2000,https://www.imdb.com/title/tt0209144/,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.4,1064203
The Great Dictator,1940,https://www.imdb.com/title/tt0032553/,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.4,189361
The Lives of Others,2006,https://www.imdb.com/title/tt0405094/,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.4,336487
Django Unchained,2012,https://www.imdb.com/title/tt1853728/,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.4,1267552
Avengers: Infinity War,2018,https://www.imdb.com/title/tt4154756/,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.4,745544
Paths of Glory,1957,https://www.imdb.com/title/tt0050825/,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.4,164396
The Shining,1980,https://www.imdb.com/title/tt0081505/,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.4,832439
Avengers: Endgame,2019,https://www.imdb.com/title/tt4154796/,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.4,662685
WALL·E,2008,https://www.imdb.com/title/tt0910970/,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.4,943620
Spider-Man: Into the Spider-Verse,2018,https://www.imdb.com/title/tt4633694/,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.4,294261
Mononoke-hime,1997,https://www.imdb.com/title/tt0119698/,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.4,308894
Sunset Blvd.,1950,https://www.imdb.com/title/tt0043014/,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.4,187350
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://www.imdb.com/title/tt0057012/,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.4,428287
